读者ID,ISBN,品类,年龄区间,性别,单次购买力区间,复购,购买日期
R45251,9787868011280,科技,46-55,男,50-100,1,2025-07-01
R14121,9780450533158,科技,18-25,男,50-100,0,2025-07-01
R92721,9780450533158,科技,36-45,女,50-100,1,2025-07-01
R86915,9780450533158,科技,26-35,女,50-100,1,2025-07-01
R92506,9783226025634,科技,18-25,男,50-100,0,2025-07-01
R54128,9780733754330,科技,26-35,男,50-100,0,2025-07-01
R56924,9780733754330,科技,18-25,男,50-100,1,2025-07-01
R34400,9780733754330,科技,46-55,男,50-100,0,2025-07-01
R62341,9781458685014,少儿,36-45,男,20-50,0,2025-07-01
R58918,9781458685014,少儿,26-35,女,20-50,0,2025-07-01
R62579,9781458685014,少儿,36-45,女,20-50,0,2025-07-01
R40710,9781458685014,少儿,36-45,女,20-50,0,2025-07-01
R45305,9789655698169,少儿,46-55,女,20-50,0,2025-07-01
R13742,9789655698169,少儿,46-55,女,20-50,1,2025-07-01
R49397,9789655698169,少儿,26-35,男,20-50,0,2025-07-01
R78692,9789655698169,少儿,36-45,女,20-50,1,2025-07-01
R17051,9788835615951,少儿,36-45,男,20-50,0,2025-07-01
R28541,9788835615951,少儿,26-35,女,20-50,0,2025-07-01
R31671,9788835615951,少儿,46-55,男,20-50,0,2025-07-01
R50308,9786564823662,少儿,26-35,女,20-50,1,2025-07-01
R36649,9786564823662,少儿,26-35,男,20-50,0,2025-07-01
R30203,9786564823662,少儿,26-35,女,20-50,0,2025-07-01
R55182,9780443699577,少儿,26-35,男,20-50,1,2025-07-01
R61648,9780443699577,少儿,18-25,男,20-50,0,2025-07-01
R22559,9782148951343,少儿,36-45,男,50-100,0,2025-07-01
R27501,9782148951343,少儿,26-35,女,50-100,0,2025-07-01
R88241,9783791769367,少儿,18-25,男,20-50,0,2025-07-01
R74003,9783791769367,少儿,36-45,女,20-50,0,2025-07-01
R13525,9783791769367,少儿,36-45,女,20-50,1,2025-07-01
R40822,9783791769367,少儿,26-35,女,20-50,0,2025-07-01
R20127,9781632870831,少儿,36-45,女,20-50,0,2025-07-01
R34637,9781632870831,少儿,26-35,女,20-50,1,2025-07-01
R22170,9781632870831,少儿,36-45,女,20-50,0,2025-07-01
R65798,9781632870831,少儿,26-35,男,20-50,1,2025-07-01
R33529,9787986872774,少儿,26-35,女,50-100,1,2025-07-01
R23950,9787986872774,少儿,26-35,男,50-100,0,2025-07-01
R99923,9787986872774,少儿,18-25,女,50-100,0,2025-07-01
R63015,9787986872774,少儿,26-35,女,50-100,0,2025-07-01
R60330,9783471434558,少儿,46-55,女,20-50,0,2025-07-01
R95697,9783471434558,少儿,26-35,男,20-50,0,2025-07-01
R17144,9783471434558,少儿,36-45,女,20-50,0,2025-07-01
R93115,9783471434558,少儿,36-45,男,20-50,1,2025-07-01
R69017,9783471434558,少儿,36-45,女,20-50,0,2025-07-01
R24637,9782316658760,教辅,18-25,男,20-50,0,2025-07-01
R79692,9782316658760,教辅,18-25,女,20-50,0,2025-07-01
R20486,9782316658760,教辅,26-35,男,20-50,1,2025-07-01
R69636,9789096705466,教辅,26-35,男,50-100,0,2025-07-01
R15222,9789096705466,教辅,26-35,女,50-100,1,2025-07-01
R58117,9789096705466,教辅,18-25,女,50-100,1,2025-07-01
R58404,9789096705466,教辅,26-35,男,50-100,1,2025-07-01
R48816,9789096705466,教辅,18-25,女,50-100,0,2025-07-01
R64664,9784670656272,教辅,18-25,男,50-100,1,2025-07-01
R93359,9784670656272,教辅,18-25,女,50-100,1,2025-07-01
R14798,9784670656272,教辅,18-25,女,50-100,0,2025-07-01
R26522,9789016272046,教辅,26-35,男,20-50,0,2025-07-01
R70035,9786464170805,教辅,26-35,女,20-50,0,2025-07-01
R78623,9786464170805,教辅,18-25,女,20-50,0,2025-07-01
R52806,9786464170805,教辅,26-35,女,20-50,1,2025-07-01
R54272,9780330923271,教辅,18-25,女,50-100,0,2025-07-01
R43666,9784529912419,教辅,36-45,女,20-50,0,2025-07-01
R20391,9784529912419,教辅,26-35,男,20-50,0,2025-07-01
R44206,9783193149190,教辅,26-35,男,20-50,0,2025-07-01
R80668,9783193149190,教辅,26-35,男,20-50,0,2025-07-01
R16400,9783193149190,教辅,36-45,男,20-50,1,2025-07-01
R67271,9783193149190,教辅,18-25,男,20-50,1,2025-07-01
R34341,9783193149190,教辅,36-45,女,20-50,1,2025-07-01
R45740,9788506716572,教辅,18-25,男,50-100,1,2025-07-01
R64306,9788506716572,教辅,46-55,女,50-100,0,2025-07-01
R70613,9788506716572,教辅,26-35,男,50-100,0,2025-07-01
R12368,9786945314737,教辅,36-45,女,50-100,0,2025-07-01
R90135,9786945314737,教辅,18-25,女,50-100,1,2025-07-01
R53090,9781043321819,文学,55+,男,50-100,0,2025-07-01
R83093,9781043321819,文学,46-55,女,50-100,1,2025-07-01
R55398,9781043321819,文学,26-35,男,50-100,0,2025-07-01
R75401,9781043321819,文学,36-45,男,50-100,1,2025-07-01
R98209,9781043321819,文学,26-35,女,50-100,0,2025-07-01
R55259,9783890838637,文学,36-45,男,50-100,1,2025-07-01
R79414,9783890838637,文学,26-35,女,50-100,0,2025-07-01
R51331,9783890838637,文学,46-55,男,50-100,0,2025-07-01
R30434,9783890838637,文学,46-55,女,50-100,0,2025-07-01
R56088,9783890838637,文学,36-45,女,50-100,0,2025-07-01
R82933,9786542351161,文学,18-25,女,50-100,0,2025-07-01
R59189,9786542351161,文学,26-35,女,50-100,0,2025-07-01
R89576,9786542351161,文学,46-55,女,50-100,0,2025-07-01
R84808,9780781618495,文学,26-35,女,50-100,0,2025-07-01
R38541,9783413164752,文学,36-45,女,50-100,0,2025-07-01
R51864,9783413164752,文学,46-55,男,50-100,0,2025-07-01
R97062,9783413164752,文学,26-35,女,50-100,0,2025-07-01
R61402,9781928327648,文学,46-55,女,20-50,1,2025-07-01
R70806,9781928327648,文学,46-55,男,20-50,0,2025-07-01
R30574,9781928327648,文学,46-55,男,20-50,0,2025-07-01
R47802,9781928327648,文学,26-35,女,20-50,1,2025-07-01
R70820,9781928327648,文学,26-35,男,20-50,0,2025-07-01
R64823,9780564139537,文学,18-25,男,50-100,0,2025-07-01
R91117,9780564139537,文学,36-45,女,50-100,1,2025-07-01
R75976,9780564139537,文学,26-35,女,50-100,0,2025-07-01
R63578,9780564139537,文学,46-55,女,50-100,0,2025-07-01
R99700,9782388496965,文学,26-35,女,20-50,1,2025-07-01
R88819,9782388496965,文学,18-25,男,20-50,0,2025-07-01
R82359,9782388496965,文学,26-35,女,20-50,0,2025-07-01
R31152,9782388496965,文学,18-25,男,20-50,0,2025-07-01
R52300,9780122691669,文学,46-55,女,50-100,1,2025-07-01
R14048,9780122691669,文学,36-45,女,50-100,1,2025-07-01
R41704,9781845146270,文学,36-45,男,50-100,0,2025-07-01
R75564,9781845146270,文学,46-55,男,50-100,0,2025-07-01
R53418,9781845146270,文学,36-45,男,50-100,0,2025-07-01
R42094,9781845146270,文学,26-35,女,50-100,0,2025-07-01
R78126,9781489325288,社科,36-45,男,50-100,0,2025-07-01
R19222,9781489325288,社科,36-45,男,50-100,0,2025-07-01
R80430,9781489325288,社科,36-45,女,50-100,1,2025-07-01
R94815,9781489325288,社科,36-45,女,50-100,0,2025-07-01
R48399,9781543039117,社科,36-45,男,50-100,0,2025-07-01
R92479,9787824896383,社科,46-55,男,50-100,0,2025-07-01
R26260,9787824896383,社科,36-45,女,50-100,1,2025-07-01
R85997,9787824896383,社科,26-35,男,50-100,0,2025-07-01
R32145,9787824896383,社科,46-55,女,50-100,0,2025-07-01
R28605,9787824896383,社科,36-45,女,50-100,0,2025-07-01
R94152,9788713315098,社科,46-55,男,50-100,0,2025-07-01
R74431,9788713315098,社科,26-35,女,50-100,0,2025-07-01
R54884,9788713315098,社科,46-55,女,50-100,0,2025-07-01
R46083,9780310518347,社科,26-35,男,50-100,0,2025-07-01
R29401,9780310518347,社科,26-35,男,50-100,0,2025-07-01
R58608,9780310518347,社科,36-45,男,50-100,0,2025-07-01
R50194,9780310518347,社科,46-55,男,50-100,0,2025-07-01
R93085,9780310518347,社科,18-25,男,50-100,0,2025-07-01
R29205,9787631165667,社科,18-25,女,50-100,0,2025-07-01
R43725,9787631165667,社科,46-55,男,50-100,0,2025-07-01
R86576,9786513338726,社科,55+,男,50-100,1,2025-07-01
R76662,9786513338726,社科,26-35,女,50-100,0,2025-07-01
R55116,9781781080132,社科,55+,男,50-100,0,2025-07-01
R75679,9781781080132,社科,26-35,女,50-100,0,2025-07-01
R73183,9786026064746,社科,26-35,男,50-100,1,2025-07-01
R11865,9786026064746,社科,36-45,女,50-100,0,2025-07-01
R39468,9786026064746,社科,55+,女,50-100,0,2025-07-01
R46479,9786026064746,社科,55+,男,50-100,0,2025-07-01
R25675,9786026064746,社科,26-35,女,50-100,0,2025-07-01
R78697,9784309805009,社科,26-35,男,50-100,0,2025-07-01
R92103,9788121913619,科技,18-25,男,50-100,1,2025-07-01
R18807,9788121913619,科技,36-45,男,50-100,1,2025-07-01
R80481,9788121913619,科技,55+,男,50-100,0,2025-07-01
R17336,9788121913619,科技,18-25,男,50-100,0,2025-07-01
R95302,9789985435346,科技,18-25,男,50-100,0,2025-07-01
R69777,9789985435346,科技,46-55,女,50-100,1,2025-07-01
R34905,9781079911838,科技,18-25,女,50-100,0,2025-07-01
R37227,9783542784980,科技,26-35,男,50-100,1,2025-07-01
R16695,9782411824493,科技,36-45,男,50-100,1,2025-07-01
R35745,9782411824493,科技,18-25,男,50-100,0,2025-07-01
R72394,9782411824493,科技,18-25,男,50-100,1,2025-07-01
R38179,9782411824493,科技,26-35,女,50-100,0,2025-07-01
R11258,9782411824493,科技,26-35,男,50-100,0,2025-07-01
R94230,9787401640052,科技,26-35,男,50-100,1,2025-07-01
R90532,9787401640052,科技,36-45,女,50-100,0,2025-07-01
R42997,9787401640052,科技,46-55,女,50-100,0,2025-07-01
R74566,9787401640052,科技,36-45,男,50-100,0,2025-07-01
R44629,9787868011280,科技,36-45,男,50-100,0,2025-07-01
R46082,9787868011280,科技,26-35,男,50-100,0,2025-07-01
R92040,9787868011280,科技,18-25,女,50-100,0,2025-07-01
R76787,9780450533158,科技,26-35,男,100+,0,2025-07-01
R18593,9780450533158,科技,18-25,男,100+,0,2025-07-01
R22395,9780450533158,科技,18-25,男,100+,0,2025-07-01
R40382,9783226025634,科技,26-35,女,50-100,1,2025-07-01
R23489,9780733754330,科技,36-45,男,50-100,0,2025-07-01
R37563,9780733754330,科技,26-35,男,50-100,0,2025-07-01
R30498,9780733754330,科技,18-25,男,50-100,1,2025-07-01
R32515,9780733754330,科技,36-45,男,50-100,0,2025-07-01
R72098,9781458685014,少儿,26-35,男,20-50,0,2025-07-01
R45308,9781458685014,少儿,46-55,女,20-50,1,2025-07-01
R49795,9781458685014,少儿,26-35,女,20-50,0,2025-07-01
R56390,9781458685014,少儿,46-55,女,20-50,0,2025-07-01
R50372,9781458685014,少儿,26-35,女,20-50,0,2025-07-01
R17249,9789655698169,少儿,26-35,男,20-50,0,2025-07-01
R28340,9789655698169,少儿,36-45,男,20-50,0,2025-07-01
R12553,9789655698169,少儿,46-55,男,20-50,0,2025-07-01
R96776,9789655698169,少儿,46-55,女,20-50,0,2025-07-01
R60122,9788835615951,少儿,26-35,女,50-100,0,2025-07-01
R36142,9788835615951,少儿,26-35,女,50-100,0,2025-07-01
R67685,9788835615951,少儿,46-55,男,50-100,0,2025-07-01
R41868,9788835615951,少儿,26-35,女,50-100,1,2025-07-01
R96431,9786564823662,少儿,26-35,男,50-100,0,2025-07-01
R86823,9780443699577,少儿,26-35,女,20-50,0,2025-07-01
R93837,9780443699577,少儿,26-35,女,20-50,0,2025-07-01
R67425,9780443699577,少儿,46-55,女,20-50,0,2025-07-01
R27600,9780443699577,少儿,26-35,女,20-50,0,2025-07-01
R64234,9780443699577,少儿,46-55,女,20-50,0,2025-07-01
R21535,9782148951343,少儿,26-35,女,50-100,0,2025-07-01
R81642,9782148951343,少儿,46-55,男,50-100,0,2025-07-01
R79602,9782148951343,少儿,26-35,男,50-100,0,2025-07-01
R28411,9782148951343,少儿,26-35,女,50-100,0,2025-07-01
R51151,9782148951343,少儿,26-35,男,50-100,0,2025-07-01
R34135,9783791769367,少儿,36-45,男,20-50,0,2025-07-01
R57474,9783791769367,少儿,26-35,男,20-50,0,2025-07-01
R28385,9781632870831,少儿,26-35,女,20-50,1,2025-07-01
R79258,9787986872774,少儿,26-35,女,50-100,1,2025-07-01
R14205,9783471434558,少儿,26-35,男,20-50,0,2025-07-01
R52869,9783471434558,少儿,26-35,女,20-50,0,2025-07-01
R85342,9783471434558,少儿,46-55,男,20-50,0,2025-07-01
R19902,9783471434558,少儿,26-35,女,20-50,0,2025-07-01
R21498,9782316658760,教辅,26-35,女,20-50,0,2025-07-01
R95219,9782316658760,教辅,46-55,男,20-50,0,2025-07-01
R99647,9782316658760,教辅,26-35,女,20-50,0,2025-07-01
R69151,9782316658760,教辅,18-25,男,20-50,0,2025-07-01
R29949,9782316658760,教辅,26-35,男,20-50,0,2025-07-01
R12815,9789096705466,教辅,18-25,女,50-100,0,2025-07-01
R91748,9789096705466,教辅,18-25,男,50-100,0,2025-07-01
R39521,9789096705466,教辅,36-45,男,50-100,1,2025-07-01
R39214,9789096705466,教辅,55+,男,50-100,0,2025-07-01
R85292,9784670656272,教辅,18-25,男,50-100,0,2025-07-01
R85609,9784670656272,教辅,18-25,男,50-100,1,2025-07-01
R13437,9789016272046,教辅,46-55,女,50-100,0,2025-07-01
R55681,9786464170805,教辅,26-35,女,20-50,0,2025-07-01
R51331,9786464170805,教辅,18-25,男,20-50,0,2025-07-01
R36437,9786464170805,教辅,26-35,女,20-50,1,2025-07-01
R45530,9786464170805,教辅,18-25,男,20-50,1,2025-07-01
R56575,9786464170805,教辅,26-35,女,20-50,1,2025-07-01
R13332,9780330923271,教辅,26-35,男,50-100,0,2025-07-01
R37339,9780330923271,教辅,18-25,男,50-100,1,2025-07-01
R62321,9780330923271,教辅,18-25,女,50-100,1,2025-07-01
R87360,9780330923271,教辅,26-35,男,50-100,0,2025-07-01
R77698,9784529912419,教辅,26-35,男,20-50,1,2025-07-01
R25775,9784529912419,教辅,36-45,女,20-50,0,2025-07-01
R56974,9784529912419,教辅,26-35,男,20-50,0,2025-07-01
R35032,9784529912419,教辅,26-35,女,20-50,1,2025-07-01
R76441,9784529912419,教辅,18-25,女,20-50,1,2025-07-01
R10951,9783193149190,教辅,36-45,男,50-100,1,2025-07-01
R18559,9788506716572,教辅,26-35,男,50-100,0,2025-07-01
R49412,9788506716572,教辅,36-45,男,50-100,1,2025-07-01
R95253,9788506716572,教辅,26-35,女,50-100,0,2025-07-01
R94850,9786945314737,教辅,26-35,女,50-100,0,2025-07-01
R42636,9786945314737,教辅,18-25,女,50-100,1,2025-07-01
R77976,9786945314737,教辅,18-25,男,50-100,1,2025-07-01
R96632,9781043321819,文学,46-55,女,20-50,0,2025-07-01
R30641,9781043321819,文学,36-45,女,20-50,0,2025-07-01
R57850,9783890838637,文学,36-45,男,20-50,0,2025-07-01
R31282,9783890838637,文学,26-35,女,20-50,1,2025-07-01
R91515,9786542351161,文学,46-55,女,20-50,0,2025-07-01
R53461,9786542351161,文学,18-25,男,20-50,1,2025-07-01
R28919,9786542351161,文学,26-35,女,20-50,0,2025-07-01
R32248,9780781618495,文学,46-55,男,20-50,1,2025-07-01
R39189,9780781618495,文学,26-35,男,20-50,1,2025-07-01
R24733,9780781618495,文学,18-25,女,20-50,0,2025-07-01
R64404,9780781618495,文学,26-35,男,20-50,0,2025-07-01
R27616,9780781618495,文学,18-25,女,20-50,0,2025-07-01
R43667,9783413164752,文学,36-45,女,20-50,1,2025-07-01
R57917,9783413164752,文学,46-55,男,20-50,0,2025-07-01
R22635,9783413164752,文学,36-45,男,20-50,0,2025-07-01
R84873,9783413164752,文学,18-25,女,20-50,1,2025-07-01
R39563,9781928327648,文学,26-35,女,20-50,0,2025-07-01
R62931,9781928327648,文学,26-35,男,20-50,0,2025-07-01
R96424,9780564139537,文学,26-35,男,20-50,0,2025-07-01
R70574,9780564139537,文学,26-35,女,20-50,0,2025-07-01
R52984,9782388496965,文学,26-35,男,20-50,0,2025-07-01
R85938,9782388496965,文学,26-35,女,20-50,0,2025-07-01
R33877,9780122691669,文学,26-35,男,50-100,1,2025-07-01
R41172,9780122691669,文学,26-35,女,50-100,1,2025-07-01
R34608,9781845146270,文学,36-45,女,50-100,0,2025-07-01
R85654,9781845146270,文学,55+,女,50-100,0,2025-07-01
R69400,9781845146270,文学,36-45,女,50-100,0,2025-07-01
R54217,9781489325288,社科,18-25,女,50-100,0,2025-07-01
R43460,9781489325288,社科,26-35,男,50-100,0,2025-07-01
R81945,9781489325288,社科,36-45,男,50-100,0,2025-07-01
R54875,9781489325288,社科,36-45,男,50-100,0,2025-07-01
R57896,9781489325288,社科,26-35,男,50-100,0,2025-07-01
R24566,9781543039117,社科,36-45,女,50-100,1,2025-07-01
R26554,9781543039117,社科,26-35,女,50-100,0,2025-07-01
R67168,9781543039117,社科,26-35,女,50-100,0,2025-07-01
R76155,9781543039117,社科,26-35,女,50-100,1,2025-07-01
R12191,9787824896383,社科,18-25,男,50-100,1,2025-07-01
R78888,9787824896383,社科,36-45,女,50-100,0,2025-07-01
R80707,9788713315098,社科,46-55,男,20-50,0,2025-07-01
R79582,9788713315098,社科,36-45,男,20-50,1,2025-07-01
R99180,9788713315098,社科,26-35,女,20-50,1,2025-07-01
R80886,9780310518347,社科,46-55,女,20-50,0,2025-07-01
R36502,9780310518347,社科,36-45,女,20-50,0,2025-07-01
R65215,9787631165667,社科,36-45,男,50-100,0,2025-07-01
R27841,9787631165667,社科,36-45,男,50-100,0,2025-07-01
R19813,9787631165667,社科,26-35,男,50-100,0,2025-07-01
R50842,9787631165667,社科,26-35,男,50-100,0,2025-07-01
R87854,9787631165667,社科,36-45,男,50-100,0,2025-07-01
R31004,9786513338726,社科,26-35,女,20-50,0,2025-07-01
R41780,9786513338726,社科,36-45,女,20-50,0,2025-07-01
R64920,9786513338726,社科,26-35,女,20-50,0,2025-07-01
R55928,9786513338726,社科,36-45,女,20-50,1,2025-07-01
R26183,9781781080132,社科,18-25,女,20-50,0,2025-07-01
R98121,9781781080132,社科,36-45,男,20-50,1,2025-07-01
R98111,9781781080132,社科,18-25,男,20-50,0,2025-07-01
R93460,9781781080132,社科,46-55,女,20-50,1,2025-07-01
R71749,9786026064746,社科,18-25,男,50-100,0,2025-07-01
R26366,9786026064746,社科,36-45,女,50-100,0,2025-07-01
R30142,9786026064746,社科,18-25,男,50-100,1,2025-07-01
R54744,9786026064746,社科,46-55,男,50-100,0,2025-07-01
R15370,9786026064746,社科,26-35,女,50-100,0,2025-07-01
R86674,9784309805009,社科,36-45,男,50-100,1,2025-07-01
R73871,9784309805009,社科,18-25,男,50-100,0,2025-07-01
R23506,9784309805009,社科,46-55,男,50-100,1,2025-07-01
R88518,9784309805009,社科,36-45,女,50-100,0,2025-07-01
R65269,9788121913619,科技,18-25,男,50-100,1,2025-07-01
R46726,9788121913619,科技,36-45,男,50-100,0,2025-07-01
R42986,9788121913619,科技,26-35,男,50-100,0,2025-07-01
R97422,9788121913619,科技,46-55,男,50-100,0,2025-07-01
R41816,9789985435346,科技,26-35,女,50-100,0,2025-07-01
R66854,9789985435346,科技,26-35,男,50-100,0,2025-07-01
R73945,9789985435346,科技,26-35,女,50-100,0,2025-07-01
R59259,9789985435346,科技,18-25,男,50-100,0,2025-07-01
R87377,9781079911838,科技,26-35,男,50-100,0,2025-07-01
R41275,9783542784980,科技,26-35,男,50-100,0,2025-07-01
R55521,9782411824493,科技,36-45,男,50-100,0,2025-07-01
R14885,9787401640052,科技,26-35,男,50-100,0,2025-07-01
R92328,9787401640052,科技,46-55,男,50-100,0,2025-07-01
R13360,9787401640052,科技,36-45,男,50-100,1,2025-07-01
R92643,9787401640052,科技,36-45,女,50-100,0,2025-07-01
R64020,9787401640052,科技,26-35,男,50-100,0,2025-07-01
R56186,9787868011280,科技,36-45,男,50-100,0,2025-07-01
R68459,9787868011280,科技,36-45,男,50-100,0,2025-07-01
R93205,9787868011280,科技,36-45,男,50-100,1,2025-07-01
R94972,9780450533158,科技,26-35,男,50-100,1,2025-07-01
R55683,9780450533158,科技,26-35,男,50-100,0,2025-07-01
R75514,9780450533158,科技,26-35,男,50-100,0,2025-07-01
R90793,9780450533158,科技,36-45,男,50-100,0,2025-07-01
R39828,9780450533158,科技,36-45,男,50-100,1,2025-07-01
R91500,9783226025634,科技,18-25,男,50-100,0,2025-07-01
R60160,9783226025634,科技,36-45,男,50-100,1,2025-07-01
R73627,9783226025634,科技,36-45,男,50-100,0,2025-07-01
R52304,9780733754330,科技,26-35,女,50-100,1,2025-07-01
R50701,9780733754330,科技,18-25,男,50-100,0,2025-07-01
R33318,9781458685014,少儿,26-35,男,20-50,0,2025-07-01
R36033,9781458685014,少儿,36-45,女,20-50,1,2025-07-01
R96925,9781458685014,少儿,26-35,女,20-50,0,2025-07-01
R54585,9781458685014,少儿,26-35,女,20-50,0,2025-07-01
R60494,9781458685014,少儿,36-45,女,20-50,1,2025-07-01
R52445,9789655698169,少儿,26-35,女,20-50,0,2025-07-01
R97493,9788835615951,少儿,26-35,女,20-50,0,2025-07-01
R39421,9788835615951,少儿,26-35,女,20-50,0,2025-07-01
R94920,9786564823662,少儿,46-55,女,20-50,0,2025-07-01
R48901,9786564823662,少儿,26-35,女,20-50,1,2025-07-01
R90244,9786564823662,少儿,46-55,男,20-50,0,2025-07-01
R82918,9786564823662,少儿,26-35,男,20-50,0,2025-07-01
R86139,9780443699577,少儿,26-35,女,20-50,0,2025-07-01
R60738,9780443699577,少儿,26-35,男,20-50,0,2025-07-01
R57706,9780443699577,少儿,26-35,女,20-50,0,2025-07-01
R58526,9780443699577,少儿,36-45,女,20-50,0,2025-07-01
R40763,9780443699577,少儿,36-45,女,20-50,0,2025-07-01
R80552,9782148951343,少儿,46-55,女,20-50,0,2025-07-01
R76512,9782148951343,少儿,26-35,男,20-50,0,2025-07-01
R39861,9783791769367,少儿,36-45,女,20-50,0,2025-07-01
R94536,9783791769367,少儿,36-45,男,20-50,0,2025-07-01
R39355,9783791769367,少儿,46-55,男,20-50,0,2025-07-01
R16973,9783791769367,少儿,18-25,男,20-50,0,2025-07-01
R87471,9783791769367,少儿,18-25,女,20-50,0,2025-07-01
R83268,9781632870831,少儿,26-35,女,20-50,0,2025-07-01
R72472,9781632870831,少儿,36-45,女,20-50,0,2025-07-01
R99392,9781632870831,少儿,26-35,女,20-50,0,2025-07-01
R46187,9781632870831,少儿,46-55,男,20-50,0,2025-07-01
R66469,9787986872774,少儿,26-35,男,20-50,0,2025-07-01
R61936,9787986872774,少儿,18-25,女,20-50,1,2025-07-01
R80568,9787986872774,少儿,36-45,男,20-50,0,2025-07-01
R40482,9787986872774,少儿,36-45,女,20-50,0,2025-07-01
R99302,9783471434558,少儿,46-55,男,20-50,0,2025-07-01
R89900,9783471434558,少儿,46-55,男,20-50,1,2025-07-01
R86997,9783471434558,少儿,36-45,男,20-50,1,2025-07-01
R90458,9783471434558,少儿,18-25,女,20-50,1,2025-07-01
R31129,9783471434558,少儿,26-35,男,20-50,0,2025-07-01
R95119,9782316658760,教辅,26-35,男,20-50,0,2025-07-01
R85235,9789096705466,教辅,36-45,男,20-50,0,2025-07-01
R63421,9789096705466,教辅,18-25,男,20-50,1,2025-07-01
R54996,9789096705466,教辅,26-35,男,20-50,1,2025-07-01
R33253,9789096705466,教辅,18-25,女,20-50,0,2025-07-01
R62615,9784670656272,教辅,26-35,男,50-100,1,2025-07-01
R94833,9784670656272,教辅,26-35,女,50-100,0,2025-07-01
R22324,9784670656272,教辅,18-25,男,50-100,0,2025-07-01
R99484,9789016272046,教辅,26-35,女,20-50,1,2025-07-01
R50142,9786464170805,教辅,18-25,女,20-50,1,2025-07-01
R83841,9786464170805,教辅,18-25,女,20-50,1,2025-07-01
R32595,9786464170805,教辅,18-25,女,20-50,1,2025-07-01
R33827,9786464170805,教辅,36-45,女,20-50,0,2025-07-01
R88606,9780330923271,教辅,18-25,男,20-50,1,2025-07-01
R67763,9780330923271,教辅,18-25,女,20-50,0,2025-07-01
R13976,9784529912419,教辅,18-25,男,20-50,0,2025-07-01
R25765,9784529912419,教辅,18-25,女,20-50,0,2025-07-01
R48198,9784529912419,教辅,18-25,男,20-50,1,2025-07-01
R87346,9784529912419,教辅,18-25,女,20-50,0,2025-07-01
R90372,9783193149190,教辅,18-25,女,20-50,0,2025-07-01
R96309,9783193149190,教辅,36-45,男,20-50,0,2025-07-01
R18580,9788506716572,教辅,36-45,男,20-50,1,2025-07-01
R41385,9788506716572,教辅,46-55,女,20-50,0,2025-07-01
R62990,9788506716572,教辅,18-25,男,20-50,1,2025-07-01
R72970,9788506716572,教辅,55+,男,20-50,0,2025-07-01
R87481,9788506716572,教辅,26-35,男,20-50,1,2025-07-01
R85377,9786945314737,教辅,46-55,男,20-50,0,2025-07-01
R81615,9786945314737,教辅,26-35,男,20-50,0,2025-07-01
R27757,9786945314737,教辅,18-25,男,20-50,0,2025-07-01
R92095,9786945314737,教辅,26-35,男,20-50,0,2025-07-01
R20798,9786945314737,教辅,26-35,男,20-50,0,2025-07-01
R60961,9781043321819,文学,46-55,女,20-50,0,2025-08-01
R47643,9781043321819,文学,26-35,女,20-50,0,2025-08-01
R79147,9781043321819,文学,26-35,男,20-50,0,2025-08-01
R21689,9781043321819,文学,36-45,女,20-50,0,2025-08-01
R84878,9781043321819,文学,55+,女,20-50,0,2025-08-01
R49707,9783890838637,文学,36-45,女,50-100,0,2025-08-01
R76633,9786542351161,文学,26-35,男,20-50,0,2025-08-01
R58604,9786542351161,文学,26-35,女,20-50,0,2025-08-01
R38114,9786542351161,文学,26-35,男,20-50,1,2025-08-01
R39041,9786542351161,文学,26-35,女,20-50,0,2025-08-01
R93941,9780781618495,文学,36-45,女,50-100,0,2025-08-01
R60002,9780781618495,文学,18-25,女,50-100,1,2025-08-01
R48068,9780781618495,文学,36-45,女,50-100,1,2025-08-01
R53352,9780781618495,文学,46-55,女,50-100,0,2025-08-01
R39933,9780781618495,文学,26-35,女,50-100,0,2025-08-01
R42266,9783413164752,文学,36-45,男,20-50,0,2025-08-01
R65422,9783413164752,文学,36-45,女,20-50,0,2025-08-01
R92076,9783413164752,文学,18-25,女,20-50,0,2025-08-01
R95634,9783413164752,文学,18-25,男,20-50,0,2025-08-01
R11340,9783413164752,文学,26-35,女,20-50,0,2025-08-01
R73991,9781928327648,文学,18-25,女,20-50,0,2025-08-01
R61834,9781928327648,文学,55+,女,20-50,1,2025-08-01
R19243,9780564139537,文学,36-45,男,20-50,0,2025-08-01
R74033,9780564139537,文学,55+,男,20-50,1,2025-08-01
R99247,9782388496965,文学,26-35,女,20-50,0,2025-08-01
R47330,9782388496965,文学,18-25,女,20-50,0,2025-08-01
R84725,9782388496965,文学,26-35,男,20-50,0,2025-08-01
R21338,9780122691669,文学,18-25,女,50-100,0,2025-08-01
R26661,9780122691669,文学,36-45,男,50-100,0,2025-08-01
R14984,9781845146270,文学,36-45,女,50-100,0,2025-08-01
R18834,9781845146270,文学,26-35,男,50-100,1,2025-08-01
R88250,9781489325288,社科,36-45,女,50-100,0,2025-08-01
R76010,9781489325288,社科,26-35,女,50-100,0,2025-08-01
R37581,9781489325288,社科,26-35,男,50-100,0,2025-08-01
R11862,9781489325288,社科,36-45,男,50-100,0,2025-08-01
R70559,9781543039117,社科,26-35,男,50-100,0,2025-08-01
R61290,9781543039117,社科,18-25,女,50-100,0,2025-08-01
R76269,9781543039117,社科,26-35,女,50-100,1,2025-08-01
